trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,start_date
21308544,U.T. Student Membership,213,2019-11-27 11:17:18+00:00,4061,Lakeshore/Austin Hostel,4062,Lakeshore/Pleasant Valley,2,2019-11-27
21310203,Local365,2130,2019-11-27 18:27:12+00:00,4057,6th/Chalmers ,2544,East 6th/Pedernales,4,2019-11-27
21309658,Explorer,430,2019-11-27 15:34:01+00:00,3791,Lake Austin/Enfield,3790,Lake Austin Blvd/Deep Eddy,8,2019-11-27
21309227,Explorer,963,2019-11-27 13:52:45+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,3791,Lake Austin/Enfield,30,2019-11-27
21309284,Explorer,430,2019-11-27 14:03:57+00:00,3377,Veterans/Atlanta @ MoPac Ped Bridge,3791,Lake Austin/Enfield,20,2019-11-27
21308183,Explorer,1551,2019-11-27 09:13:24+00:00,2504,South Congress/Elizabeth,4060,Red River/Cesar Chavez @ The Fairmont,14,2019-11-27
21308175,Explorer,2122B,2019-11-27 09:11:35+00:00,2504,South Congress/Elizabeth,4060,Red River/Cesar Chavez @ The Fairmont,16,2019-11-27
21309393,Explorer,1531,2019-11-27 14:31:39+00:00,2567,Barton Springs/Bouldin @ Palmer Auditorium,2494,2nd/Congress,13,2019-11-27
21309390,Explorer,920,2019-11-27 14:31:20+00:00,2567,Barton Springs/Bouldin @ Palmer Auditorium,2494,2nd/Congress,13,2019-11-27
21307883,Local365,865,2019-11-27 06:46:19+00:00,3513,South Congress/Barton Springs @ The Austin American-Statesman,2494,2nd/Congress,4,2019-11-27
21307961,Local365,160,2019-11-27 07:35:14+00:00,2552,3rd/West,2494,2nd/Congress,3,2019-11-27
21307897,Local365,110G,2019-11-27 06:50:30+00:00,2552,3rd/West,2495,4th/Congress,4,2019-11-27
21308222,Local365,109,2019-11-27 09:29:39+00:00,2552,3rd/West,2495,4th/Congress,4,2019-11-27
21307983,Local365,650,2019-11-27 07:48:46+00:00,2542,Plaza Saltillo,2496,8th/Congress,11,2019-11-27
21308989,Local365+Guest Pass,432,2019-11-27 12:57:53+00:00,2707,Rainey/Cummings,2501,5th/Bowie,13,2019-11-27
21309070,Single Trip (Pay-as-you-ride),893,2019-11-27 13:13:19+00:00,2574,Zilker Park,2503,South Congress/James,29,2019-11-27
21309849,Explorer,963,2019-11-27 16:19:03+00:00,2574,Zilker Park,2503,South Congress/James,39,2019-11-27
21309066,Single Trip (Pay-as-you-ride),873,2019-11-27 13:12:40+00:00,2574,Zilker Park,2503,South Congress/James,30,2019-11-27
21309850,Explorer,861,2019-11-27 16:19:27+00:00,2574,Zilker Park,2503,South Congress/James,39,2019-11-27
21309730,Explorer,252,2019-11-27 15:48:28+00:00,2503,South Congress/James,2503,South Congress/James,1,2019-11-27
21309738,Explorer,873,2019-11-27 15:49:58+00:00,2503,South Congress/James,2503,South Congress/James,3,2019-11-27
21309122,Explorer,1585,2019-11-27 13:21:47+00:00,3619,6th/Congress,2504,South Congress/Elizabeth,57,2019-11-27
21309118,Explorer,849,2019-11-27 13:21:21+00:00,3619,6th/Congress,2504,South Congress/Elizabeth,57,2019-11-27
21309117,Explorer,134,2019-11-27 13:20:57+00:00,3619,6th/Congress,2504,South Congress/Elizabeth,58,2019-11-27
21308178,Explorer,453,2019-11-27 09:12:04+00:00,2504,South Congress/Elizabeth,2504,South Congress/Elizabeth,1,2019-11-27
21310395,Local365,663,2019-11-27 20:14:09+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2537,6th/West,3,2019-11-27
21308790,Local365,650,2019-11-27 12:10:14+00:00,2496,8th/Congress,2539,3rd/Trinity @ The Convention Center,7,2019-11-27
21309879,Explorer,349G,2019-11-27 16:26:21+00:00,2574,Zilker Park,2540,17th/Guadalupe,62,2019-11-27
21309881,Explorer,88,2019-11-27 16:26:35+00:00,2574,Zilker Park,2540,17th/Guadalupe,62,2019-11-27
21309884,Explorer,529,2019-11-27 16:27:09+00:00,2574,Zilker Park,2540,17th/Guadalupe,1066,2019-11-27
21308043,Local30,110,2019-11-27 08:17:45+00:00,3798,21st/Speedway @ PCL,2540,17th/Guadalupe,6,2019-11-27
21310130,Local365,745,2019-11-27 17:53:17+00:00,2544,East 6th/Pedernales,2542,Plaza Saltillo,5,2019-11-27
21309973,Local365,2351,2019-11-27 16:49:20+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2547,21st/Guadalupe,17,2019-11-27
21310237,Local365,166,2019-11-27 18:40:43+00:00,3799,23rd/San Jacinto @ DKR Stadium,2547,21st/Guadalupe,8,2019-11-27
21310409,Local365,2351,2019-11-27 20:22:22+00:00,2552,3rd/West,2547,21st/Guadalupe,18,2019-11-27
21308764,Local365,460,2019-11-27 12:02:50+00:00,3838,26th/Nueces,2547,21st/Guadalupe,7,2019-11-27
21308955,Local365,572,2019-11-27 12:49:31+00:00,3838,26th/Nueces,2547,21st/Guadalupe,5,2019-11-27
21308138,Single Trip (Pay-as-you-ride),472,2019-11-27 08:57:24+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2549,South 1st/Riverside @ Long Center,19,2019-11-27
21309181,Local365,2351,2019-11-27 13:40:41+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2552,3rd/West,16,2019-11-27
21310369,Local365,014G,2019-11-27 19:58:39+00:00,2494,2nd/Congress,2552,3rd/West,42,2019-11-27
21308605,Local365,865,2019-11-27 11:30:32+00:00,2494,2nd/Congress,2552,3rd/West,4,2019-11-27
21310368,Local365,160,2019-11-27 19:57:55+00:00,2494,2nd/Congress,2552,3rd/West,8,2019-11-27
21308263,Local30,14264,2019-11-27 09:47:45+00:00,2496,8th/Congress,2552,3rd/West,11,2019-11-27
21310250,Local365,2351,2019-11-27 18:48:20+00:00,2547,21st/Guadalupe,2552,3rd/West,18,2019-11-27
21308806,Local365,2351,2019-11-27 12:15:01+00:00,2547,21st/Guadalupe,2552,3rd/West,15,2019-11-27
21310104,Local365,133,2019-11-27 17:37:51+00:00,2552,3rd/West,2552,3rd/West,14,2019-11-27
21310290,Local365,2351,2019-11-27 19:08:00+00:00,2552,3rd/West,2552,3rd/West,13,2019-11-27
21310317,Local365,2351,2019-11-27 19:21:52+00:00,2552,3rd/West,2552,3rd/West,41,2019-11-27
21309867,Single Trip (Pay-as-you-ride),827,2019-11-27 16:24:17+00:00,4061,Lakeshore/Austin Hostel,2563,Rainey/Davis,30,2019-11-27
