trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,start_date
21307503,Local365,650,2019-11-26 20:46:40+00:00,4048,South Congress @ Bouldin Creek,2542,Plaza Saltillo,13,2019-11-26
21303981,Local365,369G,2019-11-26 00:36:35+00:00,2567,Barton Springs/Bouldin @ Palmer Auditorium,2542,Plaza Saltillo,16,2019-11-26
21307511,Local365,894,2019-11-26 20:51:44+00:00,2494,2nd/Congress,2542,Plaza Saltillo,8,2019-11-26
21304563,Local365,864,2019-11-26 09:39:08+00:00,2501,5th/Bowie,2542,Plaza Saltillo,15,2019-11-26
21307128,Local365,460,2019-11-26 18:25:05+00:00,3841,23rd/Rio Grande,2547,21st/Guadalupe,18,2019-11-26
21304929,U.T. Student Membership,115,2019-11-26 11:17:20+00:00,3792,22nd/Pearl,2547,21st/Guadalupe,3,2019-11-26
21304953,24 Hour Walk Up Pass,2204,2019-11-26 11:28:01+00:00,3797,21st/University,2547,21st/Guadalupe,146,2019-11-26
21304944,24 Hour Walk Up Pass,014G,2019-11-26 11:25:46+00:00,3797,21st/University,2547,21st/Guadalupe,149,2019-11-26
21304949,24 Hour Walk Up Pass,113G,2019-11-26 11:26:48+00:00,3797,21st/University,2547,21st/Guadalupe,148,2019-11-26
21305023,Explorer,4,2019-11-26 11:38:00+00:00,2547,21st/Guadalupe,2547,21st/Guadalupe,133,2019-11-26
21305029,Explorer,2351,2019-11-26 11:40:02+00:00,2547,21st/Guadalupe,2547,21st/Guadalupe,134,2019-11-26
21307594,Single Trip (Pay-as-you-ride),571,2019-11-26 21:27:18+00:00,4047,8th/Lavaca,2548,Guadalupe/West Mall @ University Co-op,22,2019-11-26
21307597,Single Trip (Pay-as-you-ride),303G,2019-11-26 21:28:38+00:00,4047,8th/Lavaca,2548,Guadalupe/West Mall @ University Co-op,21,2019-11-26
21306639,Local365,115,2019-11-26 16:30:56+00:00,3793,28th/Rio Grande,2548,Guadalupe/West Mall @ University Co-op,5,2019-11-26
21304782,Local365,2887,2019-11-26 10:43:47+00:00,3798,21st/Speedway @ PCL,2548,Guadalupe/West Mall @ University Co-op,4,2019-11-26
21307409,Local365,057G,2019-11-26 20:07:35+00:00,3798,21st/Speedway @ PCL,2548,Guadalupe/West Mall @ University Co-op,7,2019-11-26
21306791,U.T. Student Membership,2077,2019-11-26 17:02:19+00:00,3799,23rd/San Jacinto @ DKR Stadium,2548,Guadalupe/West Mall @ University Co-op,6,2019-11-26
21304060,Local365,2304,2019-11-26 06:27:18+00:00,3687,Boardwalk West,2549,South 1st/Riverside @ Long Center,7,2019-11-26
21304614,Local30,1439,2019-11-26 09:55:50+00:00,2496,8th/Congress,2552,3rd/West,7,2019-11-26
